,scenario_file,percentage_agents,conflicts_pre_solver,pos_conflicts_pre,edge_conflicts_pre,path_conflicts_pre,conflicts_post_solver,pos_conflicts_post,edge_conflicts_post,path_conflicts_post,unsolveable_pos_conflicts,unsolveable_edge_conflicts,unsolveable_path_conflicts,a_star_time,fixing_time,total_runtime,max_path_length_pre,max_path_length_post,total_retries,pos_retries,edge_retries,path_retries
0,room-64-64-16-even-2.scen,100,459,244,161,54,0,0,0,0,0,1,1,1.0809719562530518,445.3346812725067,446.49596118927,189,1641,1405,673,573,159
0,room-64-64-16-even-2.scen,100,1514,748,563,203,1314,665,520,129,3,0,3,3.2131099700927734,1335.809169769287,1339.3842968940735,189,840,843,359,301,183
0,room-64-64-16-even-2.scen,100,2881,1410,1113,358,2738,1374,1075,289,2,1,5,3.4101760387420654,900.4340465068817,904.6684746742249,194,1157,1337,426,489,422
0,room-64-64-16-even-2.scen,100,4255,2007,1662,586,4166,2015,1624,527,1,2,2,5.083034992218018,901.5361847877502,909.2648823261261,194,884,955,381,384,190
0,room-64-64-16-even-2.scen,100,4255,2007,1662,586,4213,2028,1672,513,1,3,2,5.1533472537994385,902.4442758560181,909.9962446689606,194,972,1098,435,429,234
