,Position,Edge,Path,Total
0,1233,401,58,1692
1,1231,403,58,1692
2,1229,406,60,1695
3,1231,403,59,1693
4,1232,401,57,1690
5,1231,401,57,1689
6,1229,400,57,1686
7,1227,402,58,1687
8,1227,400,58,1685
9,1226,400,58,1684
10,1223,398,59,1680
11,1222,398,60,1680
12,1222,398,62,1682
13,1222,397,62,1681
14,1222,396,62,1680
15,1223,394,62,1679
16,1218,393,60,1671
17,1212,395,60,1667
18,1212,396,60,1668
19,1207,398,59,1664
20,1204,400,59,1663
21,1205,401,59,1665
22,1196,403,60,1659
23,1193,407,60,1660
24,1194,407,59,1660
25,1188,411,59,1658
26,1192,408,57,1657
27,1195,405,56,1656
28,1199,400,54,1653
29,1198,401,54,1653
30,1199,399,54,1652
31,1198,398,54,1650
32,1190,403,52,1645
33,1190,402,52,1644
34,1189,402,52,1643
35,1191,397,52,1640
36,1190,398,52,1640
37,1189,397,52,1638
38,1194,395,53,1642
39,1194,394,53,1641
40,1186,395,56,1637
41,1185,393,56,1634
42,1182,397,55,1634
43,1186,394,55,1635
44,1192,390,54,1636
45,1190,390,54,1634
46,1190,388,54,1632
47,1185,390,54,1629
48,1187,388,50,1625
49,1180,393,52,1625
50,1182,390,52,1624
51,1185,389,53,1627
52,1187,387,53,1627
53,1188,386,52,1626
54,1190,385,52,1627
55,1187,385,53,1625
56,1188,381,53,1622
57,1186,383,51,1620
58,1189,380,51,1620
59,1189,379,52,1620
60,1189,376,53,1618
61,1185,376,53,1614
62,1178,379,51,1608
63,1178,380,51,1609
64,1179,378,51,1608
65,1179,376,51,1606
66,1177,377,50,1604
67,1177,379,50,1606
68,1172,376,49,1597
69,1170,376,49,1595
70,1171,378,48,1597
71,1168,379,48,1595
72,1169,376,48,1593
73,1167,375,49,1591
74,1167,376,49,1592
75,1169,373,48,1590
76,1171,369,49,1589
77,1171,370,48,1589
78,1166,372,47,1585
79,1167,374,47,1588
80,1162,376,47,1585
81,1165,371,46,1582
82,1165,368,46,1579
83,1159,367,47,1573
84,1156,369,48,1573
85,1155,369,49,1573
86,1153,370,48,1571
87,1154,367,48,1569
88,1150,368,48,1566
89,1148,369,48,1565
90,1147,369,48,1564
91,1146,369,48,1563
92,1146,369,47,1562
93,1141,369,47,1557
94,1140,369,47,1556
95,1138,371,47,1556
96,1138,372,47,1557
97,1146,373,46,1565
98,1151,366,47,1564
99,1142,373,48,1563
100,1140,372,48,1560
101,1141,368,48,1557
102,1142,368,48,1558
103,1147,365,48,1560
104,1152,360,48,1560
105,1153,356,48,1557
106,1153,356,48,1557
107,1150,356,48,1554
108,1152,354,48,1554
109,1155,349,48,1552
110,1146,350,49,1545
111,1146,346,49,1541
112,1144,346,49,1539
113,1136,353,49,1538
114,1137,351,50,1538
115,1137,351,50,1538
116,1136,350,50,1536
117,1135,350,50,1535
118,1136,350,50,1536
119,1135,345,52,1532
120,1131,345,54,1530
121,1131,345,54,1530
122,1131,345,54,1530
123,1128,345,54,1527
124,1127,347,54,1528
125,1126,347,54,1527
126,1119,354,55,1528
127,1113,356,57,1526
128,1111,356,57,1524
129,1114,352,57,1523
130,1110,354,56,1520
131,1105,353,53,1511
132,1104,354,54,1512
133,1101,354,54,1509
134,1090,354,55,1499
135,1089,354,55,1498
136,1088,354,54,1496
137,1087,354,54,1495
138,1090,353,55,1498
139,1089,352,55,1496
140,1089,353,55,1497
141,1090,350,55,1495
142,1091,347,54,1492
143,1090,347,54,1491
144,1092,342,54,1488
145,1093,339,54,1486
146,1094,339,54,1487
147,1085,343,54,1482
148,1088,341,54,1483
149,1088,341,55,1484
150,1088,343,55,1486
151,1085,343,55,1483
152,1087,344,54,1485
153,1089,345,53,1487
154,1086,348,53,1487
155,1084,343,54,1481
156,1081,343,53,1477
157,1080,343,53,1476
158,1080,341,53,1474
159,1079,340,53,1472
160,1082,335,53,1470
161,1079,336,53,1468
162,1082,332,51,1465
163,1083,333,50,1466
164,1086,331,49,1466
165,1082,329,50,1461
166,1078,333,48,1459
167,1074,334,48,1456
168,1070,335,48,1453
169,1073,334,48,1455
170,1071,335,47,1453
171,1071,333,47,1451
172,1064,337,47,1448
173,1060,338,46,1444
174,1062,333,46,1441
175,1063,331,46,1440
176,1061,331,46,1438
177,1058,332,46,1436
178,1053,331,46,1430
179,1051,329,45,1425
180,1053,326,45,1424
181,1053,319,45,1417
182,1056,318,45,1419
183,1054,318,45,1417
184,1054,317,46,1417
185,1051,318,46,1415
186,1045,318,45,1408
187,1043,319,45,1407
188,1046,317,45,1408
189,1047,316,45,1408
190,1048,314,45,1407
191,1048,313,45,1406
192,1039,316,45,1400
193,1035,319,44,1398
194,1035,316,43,1394
195,1033,317,43,1393
196,1037,316,43,1396
197,1035,317,43,1395
198,1034,319,44,1397
199,1029,323,44,1396
200,1027,323,44,1394
201,1029,320,44,1393
202,1032,315,45,1392
203,1032,314,45,1391
204,1031,315,45,1391
205,1027,310,46,1383
206,1026,310,46,1382
207,1022,310,49,1381
208,1021,311,49,1381
209,1021,309,49,1379
210,1022,308,48,1378
211,1024,304,49,1377
212,1023,302,50,1375
213,1027,297,49,1373
214,1026,297,47,1370
215,1025,294,46,1365
216,1030,293,45,1368
217,1026,292,45,1363
218,1027,290,45,1362
219,1031,288,45,1364
220,1033,285,45,1363
221,1028,288,43,1359
222,1027,287,43,1357
223,1029,285,43,1357
224,1033,277,43,1353
225,1026,278,43,1347
226,1024,281,41,1346
227,1018,285,41,1344
228,1020,284,41,1345
229,1020,281,41,1342
230,1017,279,41,1337
231,1015,281,41,1337
232,1017,277,41,1335
233,1017,277,41,1335
234,1016,275,41,1332
235,1014,276,41,1331
236,1013,277,41,1331
237,1013,277,41,1331
238,1014,275,41,1330
239,1010,275,41,1326
240,1007,274,43,1324
241,1008,272,43,1323
242,1011,269,43,1323
243,1010,268,44,1322
244,1010,268,44,1322
245,1016,263,45,1324
246,1016,262,45,1323
247,1016,261,46,1323
248,1011,265,46,1322
249,1006,265,47,1318
250,1008,262,47,1317
251,1003,264,47,1314
252,999,265,47,1311
253,997,266,47,1310
254,998,262,47,1307
255,999,260,48,1307
256,996,261,49,1306
257,995,261,49,1305
258,987,265,49,1301
259,979,265,48,1292
260,983,264,45,1292
261,984,263,45,1292
262,984,262,45,1291
263,981,263,45,1289
264,981,263,45,1289
265,984,259,45,1288
266,976,255,45,1276
267,973,258,45,1276
268,971,258,45,1274
269,969,261,45,1275
270,961,259,45,1265
271,959,259,45,1263
272,958,258,45,1261
273,954,260,45,1259
274,952,259,45,1256
275,950,262,45,1257
276,949,264,44,1257
277,946,265,43,1254
278,940,270,43,1253
279,940,268,43,1251
280,939,268,43,1250
281,935,268,43,1246
282,938,265,43,1246
283,940,263,43,1246
284,943,260,42,1245
285,947,259,41,1247
286,948,264,40,1252
287,951,262,39,1252
288,947,266,39,1252
289,944,266,40,1250
290,942,263,42,1247
291,941,261,43,1245
292,940,261,43,1244
293,939,261,43,1243
294,940,259,43,1242
295,939,259,43,1241
296,933,261,43,1237
297,930,261,43,1234
298,928,262,43,1233
299,928,261,43,1232
300,919,263,42,1224
301,923,261,42,1226
302,923,259,44,1226
303,921,260,44,1225
304,918,259,44,1221
305,920,256,45,1221
306,920,256,45,1221
307,919,256,45,1220
308,918,256,45,1219
309,914,257,46,1217
310,913,257,46,1216
311,917,259,45,1221
312,916,261,45,1222
313,913,259,45,1217
314,910,257,45,1212
315,910,256,45,1211
316,908,253,45,1206
317,905,254,45,1204
318,904,255,44,1203
319,904,251,44,1199
320,898,250,45,1193
321,897,251,45,1193
322,896,251,45,1192
323,905,249,41,1195
324,902,244,43,1189
325,896,244,43,1183
326,892,243,43,1178
327,899,245,41,1185
328,898,248,41,1187
329,895,249,41,1185
330,891,252,40,1183
331,888,254,40,1182
332,882,256,41,1179
333,881,256,41,1178
334,877,257,41,1175
335,876,259,40,1175
336,875,260,40,1175
337,875,259,41,1175
338,873,259,41,1173
339,872,259,41,1172
340,868,256,41,1165
341,868,254,41,1163
342,869,251,41,1161
343,871,251,41,1163
344,873,250,41,1164
345,866,251,41,1158
346,865,251,41,1157
347,867,248,41,1156
348,866,246,41,1153
349,866,245,40,1151
350,868,245,40,1153
351,864,244,41,1149
352,866,243,40,1149
353,866,241,40,1147
354,867,241,40,1148
355,866,241,40,1147
356,864,241,40,1145
357,863,240,40,1143
358,862,241,40,1143
359,860,242,40,1142
360,855,247,40,1142
361,857,243,41,1141
362,856,242,41,1139
363,855,242,41,1138
364,857,238,41,1136
365,862,239,39,1140
366,857,237,39,1133
367,857,235,39,1131
368,857,237,38,1132
369,855,236,39,1130
370,854,235,39,1128
371,855,234,39,1128
372,853,233,39,1125
373,853,233,38,1124
374,856,232,36,1124
375,856,234,34,1124
376,855,233,34,1122
377,855,232,34,1121
378,855,231,34,1120
379,853,232,34,1119
380,850,231,34,1115
381,850,230,35,1115
382,849,229,35,1113
383,848,229,35,1112
384,845,231,35,1111
385,840,228,34,1102
386,838,228,34,1100
387,836,227,34,1097
388,838,226,33,1097
389,837,227,33,1097
390,838,227,32,1097
391,835,229,32,1096
392,833,229,32,1094
393,834,227,32,1093
394,833,224,33,1090
395,827,225,33,1085
396,824,225,33,1082
397,824,223,33,1080
398,824,222,33,1079
399,821,223,33,1077
400,822,223,32,1077
401,823,220,32,1075
402,823,220,31,1074
403,822,220,31,1073
404,820,221,31,1072
405,818,222,31,1071
406,816,222,31,1069
407,813,221,31,1065
408,809,220,31,1060
409,803,221,32,1056
410,803,218,33,1054
411,803,218,32,1053
412,802,219,32,1053
413,801,215,32,1048
414,802,213,32,1047
415,802,217,30,1049
416,802,217,30,1049
417,803,216,30,1049
418,805,214,30,1049
419,804,210,30,1044
420,804,209,30,1043
421,807,206,30,1043
422,805,205,30,1040
423,805,205,30,1040
424,804,205,30,1039
425,806,205,29,1040
426,803,206,29,1038
427,807,205,28,1040
428,808,202,28,1038
429,805,202,28,1035
430,808,200,26,1034
431,806,197,25,1028
432,806,196,25,1027
433,807,195,25,1027
434,811,194,24,1029
435,814,192,24,1030
436,812,192,24,1028
437,810,189,24,1023
438,811,189,23,1023
439,810,189,23,1022
440,813,186,23,1022
441,811,188,22,1021
442,805,190,23,1018
443,806,188,22,1016
444,806,187,22,1015
445,800,187,22,1009
446,801,186,23,1010
447,800,186,23,1009
448,800,185,23,1008
449,799,185,23,1007
450,800,181,23,1004
451,799,181,23,1003
452,797,180,23,1000
453,792,180,23,995
454,788,183,22,993
455,787,181,22,990
456,783,180,22,985
457,778,183,22,983
458,782,184,20,986
459,785,184,17,986
460,785,183,18,986
461,783,183,18,984
462,779,184,18,981
463,778,184,18,980
464,777,184,19,980
465,772,180,19,971
466,769,182,20,971
467,773,178,20,971
468,775,173,20,968
469,772,174,20,966
470,770,175,20,965
471,774,173,19,966
472,768,170,19,957
473,770,170,19,959
474,771,168,19,958
475,770,168,19,957
476,771,166,19,956
477,770,165,19,954
478,767,163,19,949
479,768,162,19,949
480,764,163,18,945
481,763,160,18,941
482,762,160,19,941
483,764,157,19,940
484,766,154,19,939
485,764,154,19,937
486,765,152,19,936
487,764,151,19,934
488,760,152,18,930
