,Position,Edge,Path,Total
0,36,11,3,50
1,35,13,2,50
2,35,12,2,49
3,35,11,2,48
4,35,10,2,47
5,36,10,3,49
6,35,9,3,47
7,35,8,3,46
8,33,9,3,45
9,32,9,3,44
10,31,10,3,44
11,30,10,3,43
12,28,10,3,41
13,27,9,3,39
14,27,8,3,38
15,27,7,3,37
16,28,5,3,36
17,28,4,3,35
18,27,4,3,34
19,26,4,3,33
20,19,4,3,26
21,18,4,3,25
22,16,4,3,23
23,16,4,3,23
24,15,5,2,22
25,15,3,1,19
26,15,2,1,18
27,14,2,0,16
28,12,2,0,14
29,11,1,0,12
30,9,2,0,11
31,8,2,0,10
32,7,2,0,9
33,7,1,0,8
34,6,1,0,7
35,5,1,0,6
36,4,1,0,5
37,3,1,0,4
38,2,1,0,3
39,1,1,0,2
40,1,0,0,1
41,0,0,0,0
