,Position,Edge,Path,Total
0,1597,463,82,2142
1,1596,459,82,2137
2,1591,457,84,2132
3,1590,457,84,2131
4,1587,460,84,2131
5,1586,456,84,2126
6,1581,457,84,2122
7,1575,459,85,2119
8,1573,457,85,2115
9,1572,457,85,2114
10,1565,457,85,2107
11,1563,459,84,2106
12,1564,455,84,2103
13,1568,458,84,2110
14,1563,458,83,2104
15,1560,457,84,2101
16,1551,457,84,2092
17,1552,455,84,2091
18,1563,449,84,2096
19,1562,452,83,2097
20,1558,451,83,2092
21,1555,446,82,2083
22,1548,446,81,2075
23,1552,443,81,2076
24,1552,442,81,2075
25,1551,442,82,2075
26,1550,441,82,2073
27,1547,442,81,2070
28,1542,445,82,2069
29,1538,447,82,2067
30,1533,447,82,2062
31,1532,441,83,2056
32,1529,439,85,2053
33,1526,439,86,2051
34,1522,435,87,2044
35,1518,433,88,2039
36,1516,433,87,2036
37,1515,434,87,2036
38,1510,433,88,2031
39,1514,432,87,2033
40,1509,430,87,2026
41,1506,429,87,2022
42,1505,427,89,2021
43,1509,423,88,2020
44,1508,421,88,2017
45,1508,420,89,2017
46,1508,417,90,2015
47,1523,411,86,2020
48,1524,411,86,2021
49,1524,408,86,2018
50,1521,409,86,2016
51,1520,405,86,2011
52,1514,408,86,2008
53,1509,409,87,2005
54,1510,411,85,2006
55,1510,409,85,2004
56,1509,408,85,2002
57,1508,406,85,1999
58,1503,404,85,1992
59,1503,402,84,1989
60,1504,402,84,1990
61,1516,403,81,2000
62,1518,401,82,2001
63,1507,405,82,1994
64,1517,402,82,2001
65,1517,402,82,2001
66,1515,402,81,1998
67,1514,402,81,1997
68,1509,402,80,1991
69,1504,401,81,1986
70,1511,397,80,1988
71,1505,399,81,1985
72,1503,398,81,1982
73,1501,397,81,1979
74,1502,396,81,1979
75,1505,392,81,1978
76,1501,389,79,1969
77,1500,389,80,1969
78,1499,388,77,1964
79,1497,388,77,1962
80,1498,387,77,1962
81,1493,388,77,1958
82,1489,390,76,1955
83,1487,389,77,1953
84,1486,387,77,1950
85,1487,383,75,1945
86,1482,379,74,1935
87,1483,373,76,1932
88,1476,372,75,1923
89,1475,370,77,1922
90,1466,366,79,1911
91,1468,363,78,1909
92,1466,363,79,1908
93,1464,365,78,1907
94,1469,362,78,1909
95,1468,361,78,1907
96,1466,363,78,1907
97,1456,372,78,1906
98,1455,372,78,1905
99,1469,375,73,1917
100,1466,374,73,1913
101,1467,367,73,1907
102,1473,366,71,1910
103,1467,369,71,1907
104,1465,371,71,1907
105,1464,367,70,1901
106,1463,366,70,1899
107,1461,367,69,1897
108,1458,367,70,1895
109,1456,365,71,1892
110,1454,365,71,1890
111,1454,362,72,1888
112,1455,363,73,1891
113,1461,363,72,1896
114,1461,364,71,1896
115,1455,367,71,1893
116,1447,372,71,1890
117,1451,371,71,1893
118,1453,371,70,1894
119,1451,368,72,1891
120,1452,366,72,1890
121,1454,367,69,1890
122,1447,371,69,1887
123,1441,370,70,1881
124,1439,372,69,1880
125,1437,377,68,1882
126,1434,379,67,1880
127,1431,376,67,1874
128,1430,375,67,1872
129,1425,377,67,1869
130,1425,371,69,1865
131,1422,369,69,1860
132,1422,368,69,1859
133,1428,367,67,1862
134,1429,370,67,1866
135,1427,372,67,1866
136,1426,369,68,1863
137,1426,369,68,1863
138,1422,372,68,1862
139,1423,370,68,1861
140,1428,367,67,1862
141,1433,367,65,1865
142,1430,363,64,1857
143,1425,363,64,1852
144,1423,364,63,1850
145,1417,368,64,1849
146,1414,374,65,1853
147,1414,372,66,1852
148,1405,373,68,1846
149,1411,372,67,1850
150,1406,373,66,1845
151,1403,372,66,1841
152,1402,369,66,1837
153,1399,372,66,1837
154,1396,369,66,1831
155,1399,372,63,1834
156,1398,376,62,1836
157,1395,376,60,1831
158,1393,376,60,1829
159,1387,375,60,1822
160,1381,378,61,1820
161,1375,379,61,1815
162,1372,378,61,1811
163,1371,378,61,1810
164,1369,379,61,1809
165,1365,378,62,1805
166,1365,376,62,1803
167,1364,375,62,1801
168,1363,374,63,1800
169,1357,373,63,1793
170,1352,368,63,1783
171,1353,367,62,1782
172,1350,370,62,1782
173,1353,365,62,1780
174,1357,365,64,1786
175,1357,365,64,1786
176,1361,362,63,1786
177,1354,366,64,1784
178,1353,368,65,1786
179,1350,368,65,1783
180,1341,367,66,1774
181,1335,365,67,1767
182,1335,363,67,1765
183,1332,358,66,1756
184,1331,366,66,1763
185,1323,366,66,1755
186,1321,367,64,1752
187,1318,365,62,1745
188,1315,365,62,1742
189,1314,365,61,1740
190,1318,361,61,1740
191,1315,364,61,1740
192,1310,364,59,1733
193,1307,360,61,1728
194,1305,360,59,1724
195,1302,359,58,1719
196,1300,359,59,1718
197,1301,354,59,1714
198,1299,357,59,1715
199,1297,356,60,1713
200,1297,356,60,1713
201,1292,353,60,1705
202,1287,355,57,1699
203,1292,348,57,1697
204,1287,352,56,1695
205,1287,352,55,1694
206,1287,351,55,1693
207,1286,355,56,1697
208,1282,355,53,1690
209,1281,352,53,1686
210,1282,347,53,1682
211,1279,350,53,1682
212,1278,349,53,1680
213,1278,349,54,1681
214,1276,348,54,1678
215,1278,350,51,1679
216,1277,348,51,1676
217,1278,348,51,1677
218,1272,349,51,1672
219,1273,348,51,1672
220,1272,351,49,1672
221,1270,350,49,1669
222,1273,350,49,1672
223,1277,348,49,1674
224,1273,348,49,1670
225,1275,344,48,1667
226,1278,342,48,1668
227,1278,343,47,1668
228,1275,342,48,1665
229,1275,339,48,1662
230,1271,341,49,1661
231,1269,340,48,1657
232,1265,340,48,1653
233,1257,343,48,1648
234,1256,344,48,1648
235,1252,342,51,1645
236,1245,338,52,1635
237,1246,335,52,1633
238,1245,337,52,1634
239,1241,336,52,1629
240,1241,335,53,1629
241,1234,337,54,1625
242,1229,337,54,1620
243,1228,335,54,1617
244,1226,334,53,1613
245,1231,333,53,1617
246,1234,332,52,1618
247,1233,334,52,1619
248,1234,331,51,1616
249,1232,331,51,1614
250,1231,330,51,1612
251,1224,327,51,1602
252,1219,323,51,1593
253,1215,325,51,1591
254,1217,327,51,1595
255,1216,325,50,1591
256,1215,322,50,1587
257,1206,324,50,1580
258,1205,324,50,1579
259,1206,322,49,1577
260,1202,320,50,1572
261,1198,319,51,1568
262,1195,317,51,1563
263,1187,318,51,1556
264,1181,316,51,1548
265,1182,319,50,1551
266,1180,319,50,1549
267,1176,318,49,1543
268,1173,315,48,1536
269,1173,314,47,1534
270,1176,313,47,1536
271,1175,313,47,1535
272,1171,314,48,1533
273,1166,313,47,1526
274,1167,312,47,1526
275,1166,312,47,1525
276,1165,311,47,1523
277,1164,312,47,1523
278,1161,311,46,1518
279,1162,307,45,1514
280,1159,308,45,1512
281,1156,308,45,1509
282,1159,307,45,1511
283,1157,309,46,1512
284,1158,307,44,1509
285,1156,308,44,1508
286,1156,305,44,1505
287,1149,306,46,1501
288,1148,308,46,1502
289,1154,304,47,1505
290,1151,304,49,1504
291,1152,300,50,1502
292,1154,297,50,1501
293,1149,297,50,1496
294,1147,294,50,1491
295,1144,294,49,1487
296,1143,294,48,1485
297,1141,291,48,1480
298,1140,291,47,1478
299,1141,290,46,1477
300,1136,289,46,1471
301,1132,289,46,1467
302,1132,285,46,1463
303,1133,284,43,1460
304,1134,278,43,1455
305,1132,277,43,1452
306,1130,277,43,1450
307,1130,273,43,1446
308,1135,272,42,1449
309,1129,273,42,1444
310,1127,271,43,1441
311,1125,268,43,1436
312,1123,269,43,1435
313,1120,269,43,1432
314,1121,268,43,1432
315,1115,265,43,1423
316,1114,265,43,1422
317,1112,265,43,1420
318,1111,263,44,1418
319,1107,264,44,1415
320,1105,264,44,1413
321,1103,266,44,1413
322,1103,263,44,1410
323,1101,256,44,1401
324,1101,252,43,1396
325,1099,252,43,1394
326,1095,252,43,1390
327,1094,251,43,1388
328,1090,248,44,1382
329,1093,245,43,1381
330,1095,244,42,1381
331,1089,244,43,1376
332,1086,245,44,1375
333,1080,249,42,1371
334,1074,245,42,1361
335,1074,244,42,1360
336,1073,242,42,1357
337,1072,242,42,1356
338,1073,242,41,1356
339,1068,242,40,1350
340,1062,242,40,1344
341,1065,243,41,1349
342,1063,244,41,1348
343,1057,243,41,1341
344,1056,245,41,1342
