,Position,Edge,Path,Total
318,197,17,3,217
319,196,17,3,216
320,195,16,3,214
321,194,15,3,212
322,197,13,3,213
323,193,13,3,209
324,192,13,3,208
325,192,12,3,207
326,189,12,3,204
327,189,11,4,204
328,188,11,4,203
329,187,10,4,201
330,185,10,4,199
331,183,10,4,197
332,183,10,4,197
333,182,9,4,195
334,181,9,4,194
335,179,9,3,191
336,180,7,3,190
337,178,7,3,188
338,177,7,3,187
339,175,7,3,185
340,174,7,3,184
341,173,7,3,183
342,172,7,3,182
343,171,7,3,181
344,170,7,3,180
345,169,6,2,177
346,167,6,2,175
347,164,7,2,173
348,162,7,2,171
349,160,7,2,169
350,157,9,2,168
351,156,9,2,167
352,154,9,2,165
353,153,10,2,165
354,152,10,2,164
355,150,10,2,162
356,149,9,2,160
357,147,9,2,158
358,148,8,1,157
359,147,8,1,156
360,144,8,1,153
361,141,8,1,150
362,141,6,1,148
363,139,6,1,146
364,139,6,1,146
365,137,6,1,144
366,136,6,1,143
367,133,6,1,140
368,132,6,1,139
369,131,6,1,138
370,131,5,1,137
371,130,5,1,136
372,128,5,1,134
373,128,5,1,134
374,123,5,1,129
375,122,5,1,128
376,121,4,1,126
377,118,4,1,123
378,113,4,1,118
379,112,4,1,117
380,111,4,1,116
381,110,4,1,115
382,106,4,1,111
383,104,4,1,109
384,103,4,1,108
385,102,4,1,107
386,101,4,1,106
387,100,4,1,105
388,100,4,1,105
389,100,4,1,105
390,97,5,1,103
391,96,5,0,101
392,93,4,0,97
393,92,4,0,96
394,91,4,0,95
395,91,3,0,94
396,89,3,0,92
397,88,3,0,91
398,87,3,0,90
399,86,3,0,89
400,85,3,0,88
401,84,3,0,87
402,83,3,0,86
403,81,3,0,84
404,80,3,0,83
405,79,3,0,82
406,78,3,0,81
407,76,3,0,79
408,74,2,0,76
409,72,2,0,74
410,71,2,0,73
411,70,2,0,72
412,68,2,0,70
413,67,2,0,69
414,66,2,0,68
415,65,2,0,67
416,64,2,0,66
417,62,2,0,64
418,60,2,0,62
419,58,2,0,60
420,58,1,0,59
421,56,1,0,57
422,54,1,0,55
423,53,1,0,54
424,52,1,0,53
425,50,1,0,51
426,49,1,0,50
427,48,1,0,49
428,46,1,0,47
429,45,1,0,46
430,43,1,0,44
431,42,1,0,43
432,41,1,0,42
433,40,1,0,41
434,39,1,0,40
435,38,1,0,39
436,37,1,0,38
437,36,1,0,37
438,35,1,0,36
439,33,1,0,34
440,32,0,0,32
441,31,0,0,31
442,30,0,0,30
443,28,0,0,28
444,27,0,0,27
445,26,0,0,26
446,25,0,0,25
447,24,0,0,24
448,23,0,0,23
449,22,0,0,22
450,21,0,0,21
451,18,0,0,18
452,17,0,0,17
453,16,0,0,16
454,15,0,0,15
455,13,0,0,13
456,12,0,0,12
457,11,0,0,11
458,10,0,0,10
459,9,0,0,9
460,8,0,0,8
461,6,0,0,6
462,5,0,0,5
463,4,0,0,4
464,3,0,0,3
465,1,0,0,1
466,0,0,0,0
