,Position,Edge,Path,Total
0,1057,318,48,1423
1,1055,314,48,1417
2,1051,318,49,1418
3,1050,315,49,1414
4,1051,315,49,1415
5,1047,317,50,1414
6,1046,314,50,1410
7,1044,313,51,1408
8,1038,312,51,1401
9,1036,315,50,1401
10,1036,313,50,1399
11,1035,313,50,1398
12,1032,312,50,1394
13,1034,310,50,1394
14,1032,309,51,1392
15,1028,309,50,1387
16,1024,313,50,1387
17,1026,311,50,1387
18,1023,313,49,1385
19,1023,315,48,1386
20,1021,315,48,1384
21,1016,316,48,1380
22,1014,316,48,1378
23,1014,312,49,1375
24,1013,312,50,1375
25,1009,310,51,1370
26,1006,310,51,1367
27,1004,312,50,1366
28,1005,311,50,1366
29,1003,310,50,1363
30,1001,307,51,1359
31,1005,308,53,1366
32,1006,307,53,1366
33,1004,306,54,1364
34,1001,303,53,1357
35,1011,297,49,1357
36,1013,295,49,1357
37,1013,293,49,1355
38,1011,291,49,1351
39,1009,293,49,1351
40,1011,292,45,1348
41,1007,291,45,1343
42,1005,290,42,1337
43,1005,289,41,1335
44,1005,290,40,1335
45,1007,288,40,1335
46,1007,288,40,1335
47,1005,288,39,1332
48,1005,289,40,1334
49,1001,291,40,1332
50,1000,291,40,1331
51,999,290,40,1329
52,1001,289,40,1330
53,1001,286,40,1327
54,1000,286,39,1325
55,1000,283,39,1322
56,1005,276,37,1318
57,1006,273,37,1316
58,1004,273,37,1314
59,1003,271,37,1311
60,1001,270,37,1308
61,1002,266,38,1306
62,1002,265,37,1304
63,999,266,38,1303
64,993,265,37,1295
65,993,264,37,1294
66,989,263,37,1289
67,985,263,37,1285
68,982,263,37,1282
69,984,262,36,1282
70,986,259,35,1280
71,983,258,36,1277
72,980,262,35,1277
73,986,258,35,1279
74,981,257,35,1273
75,980,259,35,1274
76,981,260,35,1276
77,982,259,34,1275
78,979,260,34,1273
79,980,258,34,1272
80,977,261,33,1271
81,974,260,33,1267
82,973,259,33,1265
83,973,261,34,1268
84,974,260,34,1268
85,975,260,34,1269
86,970,261,34,1265
87,970,260,35,1265
88,966,259,36,1261
89,966,261,37,1264
90,968,259,38,1265
91,964,258,39,1261
92,966,254,40,1260
93,964,254,39,1257
94,964,252,39,1255
95,965,253,38,1256
96,963,254,38,1255
97,962,254,39,1255
98,966,247,39,1252
99,972,243,40,1255
100,970,239,40,1249
101,974,237,38,1249
102,971,238,37,1246
103,970,234,37,1241
104,967,234,37,1238
105,966,232,37,1235
106,970,229,36,1235
107,970,231,36,1237
108,973,231,34,1238
109,970,229,34,1233
110,969,229,34,1232
111,968,230,35,1233
112,960,230,38,1228
113,957,229,38,1224
114,953,228,37,1218
115,952,227,37,1216
116,945,224,37,1206
117,942,227,37,1206
118,941,228,35,1204
119,937,229,35,1201
120,938,228,35,1201
121,940,227,35,1202
122,941,223,35,1199
123,939,221,36,1196
124,937,223,36,1196
125,934,221,36,1191
126,928,225,36,1189
127,929,225,36,1190
128,925,225,36,1186
129,922,225,36,1183
130,919,227,37,1183
131,922,226,36,1184
132,925,224,36,1185
133,923,224,37,1184
134,924,222,37,1183
135,921,222,37,1180
136,920,222,37,1179
137,922,221,37,1180
138,921,222,36,1179
139,914,225,34,1173
140,910,225,33,1168
141,911,224,33,1168
142,907,224,34,1165
143,908,222,33,1163
144,906,222,33,1161
145,909,219,33,1161
146,909,220,33,1162
147,909,217,32,1158
148,908,215,32,1155
149,903,218,32,1153
150,893,221,33,1147
151,892,222,32,1146
152,885,222,31,1138
153,887,221,31,1139
154,887,216,31,1134
155,887,217,32,1136
156,886,216,32,1134
157,885,219,31,1135
158,885,218,31,1134
159,874,217,32,1123
160,868,217,33,1118
161,864,215,33,1112
162,861,214,33,1108
163,864,214,33,1111
164,864,213,33,1110
165,863,214,33,1110
166,859,215,33,1107
167,862,214,32,1108
168,857,215,32,1104
169,855,214,32,1101
170,860,212,32,1104
171,858,213,32,1103
172,855,211,32,1098
173,852,211,33,1096
174,848,213,33,1094
175,848,211,30,1089
176,847,210,30,1087
177,848,207,30,1085
178,849,209,29,1087
179,845,211,29,1085
180,845,212,29,1086
181,842,213,29,1084
182,841,213,29,1083
183,837,209,29,1075
