DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CH,2018,0.9,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CH,2019,0.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CH,2020,-0.8,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CH,2021,0.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CH,2022,2.7,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CH,2023,2.3,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2012,3.1,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2013,0.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2014,-0.3,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2015,-1.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2016,-1.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2017,0.7,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2018,0.8,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2019,0.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2020,-1.1,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2021,2.3,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2022,8.1,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CY,2023,3.9,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2012,3.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2013,1.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2014,0.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2015,0.3,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2016,0.6,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2017,2.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2018,2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2019,2.6,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2020,3.3,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2021,3.3,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2022,14.8,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,CZ,2023,12,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2012,2.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2013,1.6,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2014,0.8,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2015,0.7,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2016,0.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2017,1.7,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2018,1.9,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2019,1.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2020,0.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2021,3.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2022,8.7,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DE,2023,6,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2012,2.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2013,0.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2014,0.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2015,0.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2016,0,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2017,1.1,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2018,0.7,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2019,0.7,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2020,0.3,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2021,1.9,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2022,8.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,DK,2023,3.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2012,2.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2013,1.3,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2014,0.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2015,0.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2016,0.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2017,1.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2018,1.8,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2019,1.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2020,0.3,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2021,2.6,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2022,8.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA19,2023,5.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2012,2.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2013,1.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2014,0.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2015,0.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2016,0.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2017,1.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2018,1.8,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2019,1.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2020,0.3,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2021,2.6,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2022,8.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EA20,2023,5.4,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EE,2012,4.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EE,2013,3.2,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EE,2014,0.5,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EE,2015,0.1,
ESTAT:TEC00118(1.0),22/02/24 11:00:00,A,RCH_A_AVG,CP00,EE,2016,0.8,
