DATAFLOW,LAST UPDATE,freq,na_item,sector,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CH,2022-Q4,2711.2,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CH,2023-Q1,2770.4,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CH,2023-Q2,2846.3,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CH,2023-Q3,2898,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2020-Q4,-755.2,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2021-Q1,-115.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2021-Q2,-602.8,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2021-Q3,335.9,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2021-Q4,-80,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2022-Q1,259.4,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2022-Q2,-306.4,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2022-Q3,774.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2022-Q4,-50.8,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2023-Q1,445.6,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2023-Q2,-185.8,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CY,2023-Q3,720,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2020-Q4,-5156.3,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2021-Q1,-5026.9,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2021-Q2,-1565.5,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2021-Q3,-1673.5,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2021-Q4,-3813.6,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2022-Q1,-2588.2,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2022-Q2,88.9,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2022-Q3,-2282.7,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2022-Q4,-4108.9,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2023-Q1,-4371.2,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2023-Q2,1079,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,CZ,2023-Q3,-1609.4,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2020-Q4,-48312,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2021-Q1,-39294,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2021-Q2,-36616,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2021-Q3,-23022,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2021-Q4,-30809,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2022-Q1,-5694,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2022-Q2,1115,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2022-Q3,-32469,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2022-Q4,-59862,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2023-Q1,-25849,p
