DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,CZ,2015,-1091.6,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,CZ,2016,1263,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,CZ,2017,2914.7,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,CZ,2018,1882.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,CZ,2019,650.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,CZ,2020,-12444.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,CZ,2021,-12115,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,CZ,2022,-8871.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DE,2013,1124,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DE,2014,16966,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DE,2015,29068,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DE,2016,36374,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DE,2017,43652,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DE,2018,65623,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DE,2019,53024,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DE,2020,-147698,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DE,2021,-129741,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DE,2022,-96910,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DK,2013,-3197.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DK,2014,3041.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DK,2015,-3187.7,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DK,2016,370.1,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DK,2017,5266,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DK,2018,2298.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DK,2019,12788.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DK,2020,1183.1,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DK,2021,13913.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,DK,2022,12722,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA19,2013,-305300.2,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA19,2014,-253145.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA19,2015,-209082,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA19,2016,-158899.2,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA19,2017,-104523,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA19,2018,-49807.5,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA19,2019,-77206.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA19,2020,-808572.7,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA19,2021,-649242.2,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA19,2022,-486532.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA20,2013,-307763.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA20,2014,-255418.8,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA20,2015,-210664,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA20,2016,-159389.7,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA20,2017,-104209.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA20,2018,-49835.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA20,2019,-77086.1,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA20,2020,-812258.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA20,2021,-650703.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EA20,2022,-486457.2,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EE,2013,34.2,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EE,2014,141.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EE,2015,23.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EE,2016,-89.6,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EE,2017,-113.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EE,2018,-143.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,EE,2019,33.6,
