,scenario_file,percentage_agents,conflicts_pre_solver,pos_conflicts_pre,edge_conflicts_pre,path_conflicts_pre,conflicts_post_solver,pos_conflicts_post,edge_conflicts_post,path_conflicts_post,unsolveable_pos_conflicts,unsolveable_edge_conflicts,unsolveable_path_conflicts,a_star_time,fixing_time,total_runtime,max_path_length_pre,max_path_length_post,total_retries,pos_retries,edge_retries,path_retries
0,room-64-64-16-random-9.scen,100,228,133,68,27,0,0,0,0,0,0,0,0.6275148391723633,194.17262721061707,194.84528851509094,183,978,552,248,244,60
0,room-64-64-16-random-9.scen,100,1038,621,343,74,501,306,156,39,0,0,3,1.599247932434082,900.6056039333344,902.2959632873535,183,1927,1911,797,739,375
0,room-64-64-16-random-9.scen,100,2115,1171,747,197,1740,978,627,135,0,3,1,2.403993606567383,900.8752727508545,903.5027432441711,185,1059,1123,366,498,259
0,room-64-64-16-random-9.scen,100,3185,1728,1105,352,2904,1586,1052,266,1,2,0,3.3810997009277344,902.1427164077759,906.0782403945923,191,1256,1309,490,563,256
0,room-64-64-16-random-9.scen,100,4543,2424,1593,526,4481,2415,1571,495,1,2,1,4.261044979095459,903.0358009338379,908.4777274131775,191,883,874,410,396,68
