,Position,Edge,Path,Total
0,594,177,15,786
1,596,175,14,785
2,596,172,14,782
3,591,174,14,779
4,589,176,13,778
5,586,173,14,773
6,583,174,14,771
7,581,175,14,770
8,585,171,14,770
9,579,172,13,764
10,578,169,13,760
11,578,168,13,759
12,576,169,13,758
13,574,169,13,756
14,573,169,13,755
15,571,168,13,752
16,572,166,12,750
17,575,168,12,755
18,575,169,12,756
19,572,171,12,755
20,571,170,13,754
21,567,175,13,755
22,566,172,13,751
23,565,170,13,748
24,558,172,15,745
25,559,175,15,749
26,558,174,15,747
27,557,174,15,746
28,558,172,15,745
29,556,173,15,744
30,555,172,15,742
31,552,170,15,737
32,553,168,15,736
33,552,170,16,738
34,550,171,16,737
35,550,170,16,736
36,549,170,16,735
37,549,168,16,733
38,547,170,16,733
39,547,170,15,732
40,546,170,15,731
41,547,170,14,731
42,544,171,14,729
43,543,171,14,728
44,542,169,13,724
45,541,169,12,722
46,539,170,12,721
47,533,170,12,715
48,531,171,12,714
49,526,174,12,712
50,526,172,12,710
51,527,169,12,708
52,526,170,12,708
53,530,165,11,706
54,528,165,11,704
55,530,162,11,703
56,528,160,12,700
57,526,162,11,699
58,523,163,12,698
59,527,158,12,697
60,528,158,11,697
61,534,153,11,698
62,537,151,11,699
63,539,151,11,701
64,539,149,11,699
65,539,148,11,698
66,542,144,11,697
67,541,143,11,695
68,541,142,11,694
69,539,142,11,692
70,540,141,11,692
71,542,142,11,695
72,540,142,13,695
73,540,142,14,696
74,538,143,14,695
75,539,142,13,694
76,534,144,13,691
77,529,147,13,689
78,524,150,13,687
79,525,148,13,686
80,525,146,13,684
81,524,146,13,683
82,523,146,13,682
83,521,146,14,681
84,524,143,14,681
85,526,142,14,682
86,524,140,15,679
87,524,141,15,680
88,525,139,14,678
89,522,140,13,675
90,518,142,13,673
91,518,141,13,672
92,518,139,13,670
93,517,138,13,668
94,515,139,13,667
95,517,139,13,669
96,519,136,13,668
97,520,134,13,667
98,517,136,13,666
99,513,136,13,662
100,508,139,13,660
101,507,138,13,658
102,507,137,13,657
103,506,137,13,656
104,504,137,14,655
105,505,137,13,655
106,505,137,13,655
107,504,137,11,652
108,502,137,11,650
109,502,138,11,651
110,497,141,11,649
111,495,141,11,647
112,493,142,11,646
113,493,139,11,643
114,496,134,11,641
115,494,135,11,640
116,493,133,11,637
117,497,129,11,637
118,500,127,11,638
119,494,130,11,635
120,490,132,11,633
121,492,129,10,631
122,494,127,10,631
123,493,127,10,630
124,493,126,10,629
125,490,128,10,628
126,489,126,9,624
127,485,125,8,618
128,486,125,8,619
129,485,123,8,616
130,481,126,8,615
131,477,130,8,615
132,477,129,8,614
133,478,128,9,615
134,477,131,7,615
135,478,130,6,614
136,475,129,6,610
137,477,130,5,612
138,476,130,6,612
139,478,129,6,613
140,474,132,6,612
141,468,133,6,607
142,469,131,6,606
143,467,129,5,601
144,467,126,5,598
145,463,129,5,597
