,Position,Edge,Path,Total
0,263,79,7,349
1,263,78,7,348
2,262,79,6,347
3,259,80,6,345
4,255,79,6,340
5,250,75,7,332
6,248,74,7,329
7,248,73,7,328
8,249,72,7,328
9,248,72,7,327
10,243,71,8,322
11,242,68,8,318
12,238,67,8,313
13,239,67,8,314
14,238,67,8,313
15,238,68,8,314
16,238,67,7,312
17,239,68,7,314
18,239,66,7,312
19,236,63,7,306
20,234,63,7,304
21,235,63,7,305
22,237,59,7,303
23,233,60,7,300
24,234,58,7,299
25,234,59,7,300
26,235,58,7,300
27,233,60,7,300
28,233,60,7,300
29,232,61,7,300
30,230,63,7,300
31,228,63,7,298
32,228,64,7,299
33,227,63,8,298
34,227,62,9,298
35,226,62,9,297
36,224,62,9,295
37,223,64,10,297
38,218,65,10,293
39,219,63,9,291
40,219,62,9,290
41,217,63,8,288
42,213,63,8,284
43,214,61,8,283
44,216,59,8,283
45,217,58,8,283
46,217,57,8,282
47,217,55,9,281
48,214,53,9,276
49,213,52,8,273
50,210,51,8,269
51,209,50,7,266
52,208,49,7,264
53,208,48,7,263
54,206,49,7,262
55,203,52,7,262
56,206,52,7,265
57,205,50,7,262
58,201,52,7,260
59,202,52,7,261
60,200,52,7,259
61,200,50,7,257
62,199,48,7,254
63,199,47,7,253
64,197,46,6,249
65,192,46,6,244
66,190,47,6,243
67,190,46,6,242
68,188,43,5,236
69,185,44,5,234
70,184,43,4,231
71,182,43,4,229
72,183,41,4,228
73,183,41,4,228
74,183,41,4,228
75,179,42,4,225
76,181,40,2,223
77,178,39,2,219
78,178,40,2,220
79,178,39,2,219
80,177,39,2,218
81,179,38,2,219
82,175,36,2,213
83,172,37,2,211
84,173,35,2,210
85,171,35,2,208
86,171,34,2,207
87,169,35,2,206
88,170,32,2,204
89,166,34,2,202
90,166,33,2,201
91,166,35,2,203
92,165,36,2,203
93,164,35,2,201
94,162,34,2,198
95,160,34,2,196
96,161,32,2,195
97,158,34,2,194
98,160,32,2,194
99,159,32,2,193
100,159,31,2,192
101,157,31,2,190
102,154,30,2,186
103,151,30,1,182
104,149,28,1,178
105,150,29,1,180
106,148,29,1,178
107,146,28,1,175
108,145,28,1,174
109,141,28,1,170
110,141,27,1,169
111,139,27,1,167
112,143,23,2,168
113,142,22,2,166
114,141,21,2,164
115,139,23,2,164
116,136,24,2,162
117,135,24,2,161
118,132,23,2,157
119,131,23,2,156
120,131,22,2,155
121,130,22,2,154
122,129,23,2,154
123,128,23,2,153
124,127,22,2,151
125,126,22,2,150
126,128,21,2,151
127,126,20,2,148
128,128,19,3,150
129,127,19,3,149
130,126,19,3,148
131,124,17,3,144
132,121,19,3,143
133,121,18,3,142
134,121,17,3,141
135,120,17,3,140
136,119,17,3,139
137,120,14,3,137
138,119,14,3,136
139,119,13,2,134
140,118,12,2,132
141,117,12,2,131
142,116,12,2,130
143,118,9,2,129
144,114,9,2,125
145,114,9,2,125
146,115,7,2,124
147,113,7,2,122
148,112,7,2,121
149,109,9,1,119
150,104,9,1,114
151,104,9,0,113
152,102,9,0,111
153,100,10,0,110
154,100,9,1,110
155,96,11,1,108
156,94,10,1,105
157,94,10,1,105
158,93,10,1,104
159,90,11,1,102
160,88,11,1,100
161,86,12,1,99
162,85,12,1,98
163,84,12,1,97
164,84,11,1,96
165,83,11,1,95
166,83,10,1,94
167,80,10,1,91
168,81,8,0,89
169,80,8,0,88
170,81,7,0,88
171,79,7,0,86
172,78,7,0,85
173,77,7,0,84
174,73,6,0,79
175,72,6,0,78
176,71,6,0,77
177,70,6,0,76
178,69,6,0,75
179,65,6,0,71
180,64,6,0,70
181,63,6,0,69
182,62,6,0,68
183,60,7,0,67
184,60,6,0,66
185,59,5,0,64
186,58,5,0,63
187,56,5,0,61
188,55,5,0,60
189,54,5,0,59
190,51,5,0,56
191,50,5,0,55
192,49,5,0,54
193,48,5,0,53
194,47,4,0,51
195,46,4,0,50
196,43,4,0,47
197,41,3,0,44
198,40,3,0,43
199,39,3,0,42
200,35,3,0,38
201,35,1,0,36
202,34,0,0,34
203,31,0,0,31
204,30,0,0,30
205,29,0,0,29
206,28,0,0,28
207,26,0,0,26
208,24,0,0,24
209,23,0,0,23
210,22,0,0,22
211,20,0,0,20
212,19,0,0,19
213,18,0,0,18
214,17,0,0,17
215,16,0,0,16
216,15,0,0,15
217,14,0,0,14
218,13,0,0,13
219,12,0,0,12
220,11,0,0,11
221,10,0,0,10
222,9,0,0,9
223,8,0,0,8
224,7,0,0,7
225,5,0,0,5
226,4,0,0,4
227,3,0,0,3
228,2,0,0,2
229,1,0,0,1
230,0,0,0,0
